Town,date,Count,Tests
Richmond,2020-05-27,5,40
Rochester,2020-05-27,31,299
Rockland,2020-05-27,273,1428
Rockport,2020-05-27,76,345
Rowe,2020-05-27,0,15
Rowley,2020-05-27,34,328
Royalston,2020-05-27,0,53
Russell,2020-05-27,11,71
Rutland,2020-05-27,47,460
Salem,2020-05-27,585,3334
Salisbury,2020-05-27,50,489
Sandisfield,2020-05-27,0,110
Sandwich,2020-05-27,88,969
Saugus,2020-05-27,506,2358
Savoy,2020-05-27,0,28
Scituate,2020-05-27,147,1073
Seekonk,2020-05-27,74,642
Sharon,2020-05-27,131,1042
Sheffield,2020-05-27,15,142
Shelburne,2020-05-27,8,161
Sherborn,2020-05-27,13,130
Shirley,2020-05-27,167,2198
Shrewsbury,2020-05-27,306,2310
Shutesbury,2020-05-27,0,51
Somerset,2020-05-27,187,1839
Somerville,2020-05-27,846,6683
South Hadley,2020-05-27,134,851
Southampton,2020-05-27,29,253
Southborough,2020-05-27,39,477
Southbridge,2020-05-27,119,681
Southwick,2020-05-27,47,412
Spencer,2020-05-27,46,596
Springfield,2020-05-27,2432,11374
Sterling,2020-05-27,114,601
Stockbridge,2020-05-27,14,120
Stoneham,2020-05-27,354,1846
Stoughton,2020-05-27,576,2637
Stow,2020-05-27,28,289
Sturbridge,2020-05-27,34,319
Sudbury,2020-05-27,181,1045
Sunderland,2020-05-27,9,128
Sutton,2020-05-27,47,419
Swampscott,2020-05-27,122,1043
Swansea,2020-05-27,113,1184
Taunton,2020-05-27,894,5356
Templeton,2020-05-27,116,618
Tewksbury,2020-05-27,560,3019
Tisbury,2020-05-27,6,264
Tolland,2020-05-27,0,7
Topsfield,2020-05-27,109,433
Townsend,2020-05-27,30,401
Truro,2020-05-27,9,78
Tyngsborough,2020-05-27,83,777
Tyringham,2020-05-27,0,14
Upton,2020-05-27,24,284
Uxbridge,2020-05-27,65,682
Wakefield,2020-05-27,293,2247
Wales,2020-05-27,0,56
Walpole,2020-05-27,224,1716
Waltham,2020-05-27,1123,4745
Ware,2020-05-27,26,438
Wareham,2020-05-27,200,1598
Warren,2020-05-27,18,159
Warwick,2020-05-27,0,30
Washington,2020-05-27,0,17
Watertown,2020-05-27,358,2234
Wayland,2020-05-27,103,817
Webster,2020-05-27,163,1300
Wellesley,2020-05-27,218,1347
Wellfleet,2020-05-27,5,112
Wendell,2020-05-27,0,30
Wenham,2020-05-27,19,159
West Boylston,2020-05-27,41,535
West Bridgewater,2020-05-27,140,599
West Brookfield,2020-05-27,16,273
West Newbury,2020-05-27,8,138
West Springfield,2020-05-27,334,1947
West Stockbridge,2020-05-27,0,45
West Tisbury,2020-05-27,7,99
Westborough,2020-05-27,323,1475
Westfield,2020-05-27,427,2392
Westford,2020-05-27,132,1331
Westhampton,2020-05-27,5,47
Westminster,2020-05-27,29,419
Weston,2020-05-27,106,835
Westport,2020-05-27,75,949
Westwood,2020-05-27,120,959
Weymouth,2020-05-27,672,4281
Whately,2020-05-27,0,28
Whitman,2020-05-27,178,1028
Wilbraham,2020-05-27,210,879
Williamsburg,2020-05-27,10,158
Williamstown,2020-05-27,83,554
Wilmington,2020-05-27,314,1607
Winchendon,2020-05-27,81,695
Winchester,2020-05-27,106,1392
Windsor,2020-05-27,0,28
Winthrop,2020-05-27,240,1343
Woburn,2020-05-27,557,3154
Worcester,2020-05-27,4681,20118
Worthington,2020-05-27,0,40
Wrentham,2020-05-27,186,1217
Yarmouth,2020-05-27,107,1419
Abington,2020-06-03,230,1433
Acton,2020-06-03,152,1344
Acushnet,2020-06-03,86,756
Adams,2020-06-03,35,398
Agawam,2020-06-03,440,2339
Alford,2020-06-03,0,9
Amesbury,2020-06-03,170,1279
Amherst,2020-06-03,93,1208
Andover,2020-06-03,299,2300
Aquinnah,2020-06-03,0,16
Arlington,2020-06-03,301,2539
Ashburnham,2020-06-03,30,361
Ashby,2020-06-03,15,170
Ashfield,2020-06-03,0,50
Ashland,2020-06-03,243,1365
Athol,2020-06-03,58,954
Attleboro,2020-06-03,625,3666
Auburn,2020-06-03,205,1377
Avon,2020-06-03,68,425
Ayer,2020-06-03,114,1748
Barnstable,2020-06-03,349,2931
Barre,2020-06-03,56,350
Becket,2020-06-03,12,87
Bedford,2020-06-03,254,2940
Belchertown,2020-06-03,96,737
Bellingham,2020-06-03,123,1027
Belmont,2020-06-03,229,1474
Berkley,2020-06-03,66,500
Berlin,2020-06-03,22,197
Bernardston,2020-06-03,6,107
Beverly,2020-06-03,581,3043
Billerica,2020-06-03,515,3383
Blackstone,2020-06-03,44,555
Blandford,2020-06-03,0,41
Bolton,2020-06-03,12,221
Boston,2020-06-03,13417,62982
Bourne,2020-06-03,151,1389
Boxborough,2020-06-03,24,272
Boxford,2020-06-03,39,408
Boylston,2020-06-03,19,291
Braintree,2020-06-03,793,3578
Brewster,2020-06-03,98,600
Bridgewater,2020-06-03,345,3332
Brimfield,2020-06-03,6,147
Brockton,2020-06-03,4064,14563
Brookfield,2020-06-03,20,159
Brookline,2020-06-03,365,2808
Buckland,2020-06-03,8,19
Burlington,2020-06-03,258,1800
Cambridge,2020-06-03,948,11894
Canton,2020-06-03,282,2250
Carlisle,2020-06-03,15,202
Carver,2020-06-03,57,727
Charlemont,2020-06-03,0,55
Charlton,2020-06-03,67,1038
Chatham,2020-06-03,13,376
Chelmsford,2020-06-03,320,3309
Chelsea,2020-06-03,2779,7094
Cheshire,2020-06-03,0,150
Chester,2020-06-03,0,56
Chesterfield,2020-06-03,0,48
Chicopee,2020-06-03,407,3421
Chilmark,2020-06-03,0,43
Clarksburg,2020-06-03,7,60
Clinton,2020-06-03,227,1281
Cohasset,2020-06-03,24,383
Colrain,2020-06-03,0,63
Concord,2020-06-03,170,2014
Conway,2020-06-03,0,86
Cummington,2020-06-03,0,47
Dalton,2020-06-03,9,407
Danvers,2020-06-03,706,3581
Dartmouth,2020-06-03,365,3200
Dedham,2020-06-03,371,2332
Deerfield,2020-06-03,8,222
Dennis,2020-06-03,94,870
Dighton,2020-06-03,57,558
Douglas,2020-06-03,44,439
Dover,2020-06-03,18,222
Dracut,2020-06-03,447,3373
Dudley,2020-06-03,76,601
Dunstable,2020-06-03,10,161
Duxbury,2020-06-03,102,1243
East Bridgewater,2020-06-03,174,1162
East Brookfield,2020-06-03,10,85
East Longmeadow,2020-06-03,267,1327
Eastham,2020-06-03,10,204
Easthampton,2020-06-03,79,884
Easton,2020-06-03,259,1885
Edgartown,2020-06-03,7,237
Egremont,2020-06-03,5,41
Erving,2020-06-03,6,96
Essex,2020-06-03,23,196
Everett,2020-06-03,1647,5575
Fairhaven,2020-06-03,227,1796
Fall River,2020-06-03,1363,9878
Falmouth,2020-06-03,185,2258
Fitchburg,2020-06-03,758,4610
Florida,2020-06-03,3,31
Foxborough,2020-06-03,110,1149
Framingham,2020-06-03,1681,7577
Franklin,2020-06-03,124,1752
Freetown,2020-06-03,89,637
Gardner,2020-06-03,190,2892
Georgetown,2020-06-03,54,484
Gill,2020-06-03,3,49
Gloucester,2020-06-03,251,1659
Goshen,2020-06-03,3,22
Gosnold,2020-06-03,0,0
Grafton,2020-06-03,94,1089
Granby,2020-06-03,28,255
Granville,2020-06-03,10,77
Great Barrington,2020-06-03,72,741
Greenfield,2020-06-03,193,1266
Groton,2020-06-03,40,644
Groveland,2020-06-03,30,399
Hadley,2020-06-03,42,464
Halifax,2020-06-03,55,533
Hamilton,2020-06-03,31,286
Hampden,2020-06-03,83,357
Hancock,2020-06-03,3,11
Hanover,2020-06-03,67,822
Hanson,2020-06-03,98,741
Hardwick,2020-06-03,9,138
Harvard,2020-06-03,17,223
Harwich,2020-06-03,121,857
Hatfield,2020-06-03,16,168
Haverhill,2020-06-03,1135,6893
Hawley,2020-06-03,0,5
Heath,2020-06-03,0,18
Hingham,2020-06-03,257,1838
Hinsdale,2020-06-03,3,113
Holbrook,2020-06-03,187,1009
Holden,2020-06-03,102,1508
Holland,2020-06-03,8,75
Holliston,2020-06-03,56,769
Holyoke,2020-06-03,842,3450
Hopedale,2020-06-03,39,389
Hopkinton,2020-06-03,119,1072
Hubbardston,2020-06-03,5,236
Hudson,2020-06-03,179,1350
Hull,2020-06-03,48,599
Huntington,2020-06-03,14,112
Ipswich,2020-06-03,66,887
Kingston,2020-06-03,131,1109
Lakeville,2020-06-03,55,688
Lancaster,2020-06-03,87,540
Lanesborough,2020-06-03,8,153
Lawrence,2020-06-03,3163,11603
Lee,2020-06-03,18,414
Leicester,2020-06-03,147,919
Lenox,2020-06-03,13,605
Leominster,2020-06-03,613,4523
Leverett,2020-06-03,3,71
Lexington,2020-06-03,316,1981
Leyden,2020-06-03,0,3
Lincoln,2020-06-03,36,483
Littleton,2020-06-03,99,578
Longmeadow,2020-06-03,204,1041
Lowell,2020-06-03,2671,15517
Ludlow,2020-06-03,118,1408
Lunenburg,2020-06-03,60,698
Lynn,2020-06-03,3430,11580
Lynnfield,2020-06-03,90,849
Malden,2020-06-03,1151,5922
Manchester,2020-06-03,19,191
Mansfield,2020-06-03,158,1580
Marblehead,2020-06-03,224,1384
Marion,2020-06-03,13,478
Marlborough,2020-06-03,938,4510
Marshfield,2020-06-03,157,1604
Mashpee,2020-06-03,54,1083
Mattapoisett,2020-06-03,31,334
Maynard,2020-06-03,69,708
Medfield,2020-06-03,35,588
Medford,2020-06-03,994,5169
Medway,2020-06-03,113,765
Melrose,2020-06-03,239,1931
Mendon,2020-06-03,27,297
Merrimac,2020-06-03,34,411
Methuen,2020-06-03,939,5277
Middleborough,2020-06-03,258,2158
Middlefield,2020-06-03,0,9
Middleton,2020-06-03,160,824
Milford,2020-06-03,617,2945
Millbury,2020-06-03,205,1160
Millis,2020-06-03,47,519
Millville,2020-06-03,15,180
Milton,2020-06-03,295,1820
Monroe,2020-06-03,0,4
Monson,2020-06-03,34,370
Montague,2020-06-03,25,477
Monterey,2020-06-03,0,25
Montgomery,2020-06-03,0,9
Mount Washington,2020-06-03,0,2
Nahant,2020-06-03,39,259
Nantucket,2020-06-03,13,629
Natick,2020-06-03,412,2315
Needham,2020-06-03,318,2062
New Ashford,2020-06-03,0,5
New Bedford,2020-06-03,1910,10970
New Braintree,2020-06-03,0,42
New Marlborough,2020-06-03,6,44
New Salem,2020-06-03,0,47
Newbury,2020-06-03,13,334
Newburyport,2020-06-03,81,1275
Newton,2020-06-03,760,6023
Norfolk,2020-06-03,24,1591
North Adams,2020-06-03,46,649
North Andover,2020-06-03,326,2762
North Attleborough,2020-06-03,248,1794
North Brookfield,2020-06-03,14,216
North Reading,2020-06-03,184,944
Northampton,2020-06-03,269,2143
Northborough,2020-06-03,220,1227
Northbridge,2020-06-03,304,1486
Northfield,2020-06-03,0,137
Norton,2020-06-03,126,1352
Norwell,2020-06-03,119,734
Norwood,2020-06-03,563,3309
Oak Bluffs,2020-06-03,5,268
Oakham,2020-06-03,6,107
Orange,2020-06-03,39,564
Orleans,2020-06-03,16,288
Otis,2020-06-03,0,55
Oxford,2020-06-03,67,831
Palmer,2020-06-03,45,643
Paxton,2020-06-03,31,259
Peabody,2020-06-03,947,4788
Pelham,2020-06-03,0,61
Pembroke,2020-06-03,89,1092
Pepperell,2020-06-03,49,561
Peru,2020-06-03,0,41
Petersham,2020-06-03,7,83
Phillipston,2020-06-03,15,106
Pittsfield,2020-06-03,168,3639
Plainfield,2020-06-03,0,29
Plainville,2020-06-03,64,563
Plymouth,2020-06-03,545,4758
Plympton,2020-06-03,9,166
Princeton,2020-06-03,6,188
Provincetown,2020-06-03,22,267
Quincy,2020-06-03,1107,7170
Randolph,2020-06-03,912,3917
Raynham,2020-06-03,227,1415
Reading,2020-06-03,291,1860
Rehoboth,2020-06-03,58,619
Revere,2020-06-03,1667,6403
Richmond,2020-06-03,5,49
Rochester,2020-06-03,33,339
Rockland,2020-06-03,284,1534
Rockport,2020-06-03,76,385
Rowe,2020-06-03,0,16
Rowley,2020-06-03,39,372
Royalston,2020-06-03,0,59
Russell,2020-06-03,11,81
Rutland,2020-06-03,52,513
Salem,2020-06-03,607,3727
Salisbury,2020-06-03,51,539
Sandisfield,2020-06-03,0,116
Sandwich,2020-06-03,90,1083
Saugus,2020-06-03,526,2616
Savoy,2020-06-03,0,31
Scituate,2020-06-03,173,1150
Seekonk,2020-06-03,76,725
Sharon,2020-06-03,142,1140
Sheffield,2020-06-03,15,156
Shelburne,2020-06-03,8,178
Sherborn,2020-06-03,13,154
Shirley,2020-06-03,173,2254
Shrewsbury,2020-06-03,307,2563
Shutesbury,2020-06-03,0,56
Somerset,2020-06-03,197,1982
Somerville,2020-06-03,882,7879
South Hadley,2020-06-03,137,924
Southampton,2020-06-03,29,284
Southborough,2020-06-03,40,542
Southbridge,2020-06-03,133,778
Southwick,2020-06-03,48,462
Spencer,2020-06-03,48,672
Springfield,2020-06-03,2573,12594
Sterling,2020-06-03,114,645
Stockbridge,2020-06-03,14,130
Stoneham,2020-06-03,363,2042
Stoughton,2020-06-03,591,2854
Stow,2020-06-03,28,339
Sturbridge,2020-06-03,36,357
Sudbury,2020-06-03,188,1135
Sunderland,2020-06-03,9,144
Sutton,2020-06-03,51,479
Swampscott,2020-06-03,123,1152
Swansea,2020-06-03,126,1350
Taunton,2020-06-03,934,5846
Templeton,2020-06-03,119,681
Tewksbury,2020-06-03,574,3281
Tisbury,2020-06-03,7,319
Tolland,2020-06-03,0,8
Topsfield,2020-06-03,110,471
Townsend,2020-06-03,30,460
Truro,2020-06-03,9,87
Tyngsborough,2020-06-03,86,862
Tyringham,2020-06-03,0,17
Upton,2020-06-03,24,333
Uxbridge,2020-06-03,67,765
Wakefield,2020-06-03,299,2416
Wales,2020-06-03,0,63
Walpole,2020-06-03,227,2339
Waltham,2020-06-03,1170,5251
Ware,2020-06-03,28,492
Wareham,2020-06-03,208,1789
Warren,2020-06-03,19,185
Warwick,2020-06-03,0,38
Washington,2020-06-03,0,22
Watertown,2020-06-03,367,2455
Wayland,2020-06-03,107,900
Webster,2020-06-03,189,1517
Wellesley,2020-06-03,223,1502
Wellfleet,2020-06-03,0,126
Wendell,2020-06-03,0,35
Wenham,2020-06-03,19,188
West Boylston,2020-06-03,41,578
West Bridgewater,2020-06-03,143,656
West Brookfield,2020-06-03,17,345
West Newbury,2020-06-03,8,166
West Springfield,2020-06-03,352,2150
West Stockbridge,2020-06-03,5,51
West Tisbury,2020-06-03,7,112
Westborough,2020-06-03,333,1598
Westfield,2020-06-03,428,2621
Westford,2020-06-03,134,1469
Westhampton,2020-06-03,5,51
Westminster,2020-06-03,32,471
Weston,2020-06-03,106,913
Westport,2020-06-03,87,1091
Westwood,2020-06-03,122,1038
Weymouth,2020-06-03,682,4635
Whately,2020-06-03,0,33
Whitman,2020-06-03,185,1140
Wilbraham,2020-06-03,216,942
Williamsburg,2020-06-03,10,183
Williamstown,2020-06-03,83,586
Wilmington,2020-06-03,323,1780
Winchendon,2020-06-03,87,797
Winchester,2020-06-03,113,1526
Windsor,2020-06-03,0,33
Winthrop,2020-06-03,245,1492
Woburn,2020-06-03,586,3471
Worcester,2020-06-03,4910,21914
Worthington,2020-06-03,0,47
Wrentham,2020-06-03,189,1277
Abington,2020-06-10,232,1524
Acton,2020-06-10,154,1470
Acushnet,2020-06-10,87,830
Adams,2020-06-10,35,437
Agawam,2020-06-10,449,2492
Alford,2020-06-10,3,13
Amesbury,2020-06-10,173,1365
Amherst,2020-06-10,91,1335
Andover,2020-06-10,301,2599
Aquinnah,2020-06-10,0,20
Arlington,2020-06-10,305,2885
Ashburnham,2020-06-10,30,407
Ashby,2020-06-10,15,186
Ashfield,2020-06-10,3,60
Ashland,2020-06-10,246,1457
Athol,2020-06-10,62,1033
Attleboro,2020-06-10,646,3903
Auburn,2020-06-10,209,1476
Avon,2020-06-10,70,449
Ayer,2020-06-10,121,1944
Barnstable,2020-06-10,359,3319
Barre,2020-06-10,58,387
Becket,2020-06-10,14,96
Bedford,2020-06-10,247,3244
Belchertown,2020-06-10,100,830
Bellingham,2020-06-10,124,1111
Belmont,2020-06-10,229,1623
Berkley,2020-06-10,68,549
Berlin,2020-06-10,20,212
Bernardston,2020-06-10,6,120
Beverly,2020-06-10,598,3339
Billerica,2020-06-10,526,3691
Blackstone,2020-06-10,45,615
Blandford,2020-06-10,3,44
Bolton,2020-06-10,11,252
Boston,2020-06-10,13609,68509
Bourne,2020-06-10,152,1525
Boxborough,2020-06-10,24,302
Boxford,2020-06-10,39,449
Boylston,2020-06-10,21,318
Braintree,2020-06-10,804,3852
Brewster,2020-06-10,100,675
Bridgewater,2020-06-10,352,3504
Brimfield,2020-06-10,6,165
Brockton,2020-06-10,4136,15396
Brookfield,2020-06-10,19,183
Brookline,2020-06-10,373,3131
Buckland,2020-06-10,8,20
Burlington,2020-06-10,263,1938
Cambridge,2020-06-10,962,13581
Canton,2020-06-10,284,2384
Carlisle,2020-06-10,15,229
Carver,2020-06-10,57,801
Charlemont,2020-06-10,3,57
Charlton,2020-06-10,70,1115
Chatham,2020-06-10,14,418
Chelmsford,2020-06-10,324,3563
Chelsea,2020-06-10,2839,7444
Cheshire,2020-06-10,3,171
Chester,2020-06-10,3,61
Chesterfield,2020-06-10,3,56
Chicopee,2020-06-10,415,3969
Chilmark,2020-06-10,3,67
Clarksburg,2020-06-10,7,66
Clinton,2020-06-10,238,1452
Cohasset,2020-06-10,24,414
Colrain,2020-06-10,3,69
Concord,2020-06-10,170,2156
Conway,2020-06-10,3,96
Cummington,2020-06-10,3,50
Dalton,2020-06-10,9,450
Danvers,2020-06-10,717,3794
Dartmouth,2020-06-10,373,3475
Dedham,2020-06-10,394,2493
Deerfield,2020-06-10,9,250
Dennis,2020-06-10,93,968
Dighton,2020-06-10,63,621
Douglas,2020-06-10,45,503
Dover,2020-06-10,18,250
Dracut,2020-06-10,455,3603
Dudley,2020-06-10,84,662
Dunstable,2020-06-10,10,180
Duxbury,2020-06-10,106,1354
East Bridgewater,2020-06-10,176,1250
East Brookfield,2020-06-10,14,100
East Longmeadow,2020-06-10,270,1432
Eastham,2020-06-10,10,230
Easthampton,2020-06-10,80,982
Easton,2020-06-10,263,2022
Edgartown,2020-06-10,7,359
Egremont,2020-06-10,5,50
Erving,2020-06-10,6,105
Essex,2020-06-10,23,216
Everett,2020-06-10,1692,5997
Fairhaven,2020-06-10,236,1912
Fall River,2020-06-10,1472,10870
Falmouth,2020-06-10,186,2556
Fitchburg,2020-06-10,775,4988
Florida,2020-06-10,3,31
Foxborough,2020-06-10,112,1282
Framingham,2020-06-10,1700,8004
Franklin,2020-06-10,128,1940
Freetown,2020-06-10,89,701
Gardner,2020-06-10,189,3125
Georgetown,2020-06-10,55,515
Gill,2020-06-10,3,58
Gloucester,2020-06-10,252,1803
Goshen,2020-06-10,3,23
Gosnold,2020-06-10,0,0
Grafton,2020-06-10,92,1189
Granby,2020-06-10,28,286
Granville,2020-06-10,10,87
Great Barrington,2020-06-10,72,795
Greenfield,2020-06-10,198,1404
Groton,2020-06-10,40,714
Groveland,2020-06-10,32,448
Hadley,2020-06-10,42,488
Halifax,2020-06-10,56,579
Hamilton,2020-06-10,36,428
Hampden,2020-06-10,87,379
Hancock,2020-06-10,3,12
Hanover,2020-06-10,69,923
Hanson,2020-06-10,103,794
Hardwick,2020-06-10,9,150
Harvard,2020-06-10,17,261
Harwich,2020-06-10,120,910
Hatfield,2020-06-10,16,189
Haverhill,2020-06-10,1180,7438
Hawley,2020-06-10,0,5
Heath,2020-06-10,0,22
Hingham,2020-06-10,265,1946
Hinsdale,2020-06-10,3,126
Holbrook,2020-06-10,191,1089
Holden,2020-06-10,111,1599
Holland,2020-06-10,8,86
Holliston,2020-06-10,56,863
Holyoke,2020-06-10,877,4205
Hopedale,2020-06-10,40,451
Hopkinton,2020-06-10,120,1131
Hubbardston,2020-06-10,6,260
Hudson,2020-06-10,182,1474
Hull,2020-06-10,49,670
Huntington,2020-06-10,14,122
Ipswich,2020-06-10,70,972
Kingston,2020-06-10,134,1178
Lakeville,2020-06-10,56,757
Lancaster,2020-06-10,101,585
Lanesborough,2020-06-10,8,174
Lawrence,2020-06-10,3339,12588
Lee,2020-06-10,19,449
Leicester,2020-06-10,147,987
Lenox,2020-06-10,13,654
Leominster,2020-06-10,658,4921
Leverett,2020-06-10,3,87
Lexington,2020-06-10,317,2152
Leyden,2020-06-10,0,3
Lincoln,2020-06-10,37,536
Littleton,2020-06-10,99,647
Longmeadow,2020-06-10,208,1116
Lowell,2020-06-10,2757,16616
Ludlow,2020-06-10,119,1573
Lunenburg,2020-06-10,61,773
Lynn,2020-06-10,3503,12390
Lynnfield,2020-06-10,93,934
Malden,2020-06-10,1170,6402
Manchester,2020-06-10,19,218
Mansfield,2020-06-10,161,1729
Marblehead,2020-06-10,225,1511
Marion,2020-06-10,13,508
Marlborough,2020-06-10,952,4775
Marshfield,2020-06-10,160,1763
Mashpee,2020-06-10,56,1188
Mattapoisett,2020-06-10,34,401
Maynard,2020-06-10,69,793
Medfield,2020-06-10,36,659
Medford,2020-06-10,1013,5923
Medway,2020-06-10,118,838
Melrose,2020-06-10,241,2113
Mendon,2020-06-10,30,340
Merrimac,2020-06-10,35,449
Methuen,2020-06-10,970,5696
Middleborough,2020-06-10,260,2309
Middlefield,2020-06-10,0,11
Middleton,2020-06-10,161,880
Milford,2020-06-10,631,3145
Millbury,2020-06-10,204,1240
Millis,2020-06-10,47,547
Millville,2020-06-10,17,198
Milton,2020-06-10,297,1972
Monroe,2020-06-10,0,5
Monson,2020-06-10,34,421
Montague,2020-06-10,25,525
Monterey,2020-06-10,0,26
Montgomery,2020-06-10,3,10
Mount Washington,2020-06-10,0,2
Nahant,2020-06-10,39,286
Nantucket,2020-06-10,13,718
Natick,2020-06-10,412,2517
Needham,2020-06-10,325,2217
New Ashford,2020-06-10,0,7
New Bedford,2020-06-10,1991,11972
New Braintree,2020-06-10,3,46
New Marlborough,2020-06-10,7,52
New Salem,2020-06-10,3,52
Newbury,2020-06-10,13,380
Newburyport,2020-06-10,94,1519
Newton,2020-06-10,767,6653
Norfolk,2020-06-10,25,1642
North Adams,2020-06-10,46,706
North Andover,2020-06-10,337,2924
North Attleborough,2020-06-10,248,1916
North Brookfield,2020-06-10,15,254
North Reading,2020-06-10,186,1025
Northampton,2020-06-10,269,2413
Northborough,2020-06-10,222,1307
Northbridge,2020-06-10,308,1607
Northfield,2020-06-10,3,148
Norton,2020-06-10,130,1453
Norwell,2020-06-10,119,771
Norwood,2020-06-10,568,3467
Oak Bluffs,2020-06-10,5,347
Oakham,2020-06-10,6,113
Orange,2020-06-10,40,618
Orleans,2020-06-10,16,325
Otis,2020-06-10,3,67
Oxford,2020-06-10,73,899
Palmer,2020-06-10,45,701
Paxton,2020-06-10,32,288
Peabody,2020-06-10,963,5168
Pelham,2020-06-10,3,68
Pembroke,2020-06-10,91,1199
Pepperell,2020-06-10,50,638
Peru,2020-06-10,3,46
Petersham,2020-06-10,7,90
Phillipston,2020-06-10,15,117
Pittsfield,2020-06-10,168,3930
Plainfield,2020-06-10,3,33
Plainville,2020-06-10,64,645
Plymouth,2020-06-10,573,5115
Plympton,2020-06-10,9,175
Princeton,2020-06-10,6,219
Provincetown,2020-06-10,22,285
Quincy,2020-06-10,1112,7766
Randolph,2020-06-10,926,4220
Raynham,2020-06-10,232,1500
Reading,2020-06-10,291,2060
Rehoboth,2020-06-10,60,696
Revere,2020-06-10,1701,6846
Richmond,2020-06-10,5,59
Rochester,2020-06-10,34,380
Rockland,2020-06-10,288,1650
Rockport,2020-06-10,78,418
Rowe,2020-06-10,0,18
Rowley,2020-06-10,42,427
Royalston,2020-06-10,3,62
Russell,2020-06-10,11,87
Rutland,2020-06-10,52,560
Salem,2020-06-10,615,4077
Salisbury,2020-06-10,52,597
Sandisfield,2020-06-10,3,122
Sandwich,2020-06-10,92,1186
Saugus,2020-06-10,545,2882
Savoy,2020-06-10,3,32
Scituate,2020-06-10,177,1245
Seekonk,2020-06-10,80,797
Sharon,2020-06-10,147,1237
Sheffield,2020-06-10,15,174
Shelburne,2020-06-10,8,193
Sherborn,2020-06-10,13,172
Shirley,2020-06-10,174,2306
Shrewsbury,2020-06-10,312,2779
Shutesbury,2020-06-10,3,65
Somerset,2020-06-10,201,2190
Somerville,2020-06-10,904,9183
South Hadley,2020-06-10,142,1004
Southampton,2020-06-10,29,313
Southborough,2020-06-10,41,608
Southbridge,2020-06-10,150,982
Southwick,2020-06-10,48,524
Spencer,2020-06-10,49,752
Springfield,2020-06-10,2650,13811
Sterling,2020-06-10,118,689
Stockbridge,2020-06-10,14,139
Stoneham,2020-06-10,367,2210
Stoughton,2020-06-10,597,3100
Stow,2020-06-10,28,374
Sturbridge,2020-06-10,40,405
Sudbury,2020-06-10,191,1249
Sunderland,2020-06-10,9,160
Sutton,2020-06-10,53,533
Swampscott,2020-06-10,127,1256
Swansea,2020-06-10,129,1517
Taunton,2020-06-10,951,6267
Templeton,2020-06-10,121,747
Tewksbury,2020-06-10,575,3474
Tisbury,2020-06-10,7,435
Tolland,2020-06-10,3,8
Topsfield,2020-06-10,111,526
Townsend,2020-06-10,31,513
Truro,2020-06-10,9,100
Tyngsborough,2020-06-10,89,968
Tyringham,2020-06-10,3,18
Upton,2020-06-10,24,373
Uxbridge,2020-06-10,73,854
Wakefield,2020-06-10,307,2610
Wales,2020-06-10,3,76
Walpole,2020-06-10,229,2458
Waltham,2020-06-10,1190,5648
Ware,2020-06-10,30,548
Wareham,2020-06-10,210,1970
Warren,2020-06-10,21,215
Warwick,2020-06-10,0,41
Washington,2020-06-10,3,26
Watertown,2020-06-10,368,2677
Wayland,2020-06-10,106,1002
Webster,2020-06-10,204,1657
Wellesley,2020-06-10,228,1749
Wellfleet,2020-06-10,3,143
Wendell,2020-06-10,0,37
Wenham,2020-06-10,19,208
West Boylston,2020-06-10,43,630
West Bridgewater,2020-06-10,145,713
West Brookfield,2020-06-10,17,391
West Newbury,2020-06-10,8,189
West Springfield,2020-06-10,356,2337
West Stockbridge,2020-06-10,5,58
West Tisbury,2020-06-10,7,147
Westborough,2020-06-10,335,1710
Westfield,2020-06-10,430,2901
Westford,2020-06-10,136,1600
Westhampton,2020-06-10,5,56
Westminster,2020-06-10,32,516
Weston,2020-06-10,108,974
Westport,2020-06-10,95,1236
Westwood,2020-06-10,122,1118
Weymouth,2020-06-10,690,5022
Whately,2020-06-10,5,39
Whitman,2020-06-10,182,1214
Wilbraham,2020-06-10,219,1076
Williamsburg,2020-06-10,10,203
Williamstown,2020-06-10,83,612
Wilmington,2020-06-10,325,1923
Winchendon,2020-06-10,87,896
Winchester,2020-06-10,112,1682
Windsor,2020-06-10,0,36
Winthrop,2020-06-10,249,1646
Woburn,2020-06-10,597,3798
Worcester,2020-06-10,5028,23792
Worthington,2020-06-10,0,55
Wrentham,2020-06-10,189,1334
Yarmouth,2020-06-10,110,1701
Abington,2020-06-17,231,1622
Acton,2020-06-17,156,1618
Acushnet,2020-06-17,86,915
Adams,2020-06-17,35,484
Agawam,2020-06-17,450,2666
Alford,2020-06-17,3,15
Amesbury,2020-06-17,175,1460
Amherst,2020-06-17,93,1564
Andover,2020-06-17,300,3052
Aquinnah,2020-06-17,3,25
Arlington,2020-06-17,304,3241
Ashburnham,2020-06-17,32,443
Ashby,2020-06-17,15,211
Ashfield,2020-06-17,3,66
Ashland,2020-06-17,245,1610
Athol,2020-06-17,62,1142
Attleboro,2020-06-17,650,4169
Auburn,2020-06-17,213,1585
Avon,2020-06-17,72,477
Ayer,2020-06-17,130,2002
Barnstable,2020-06-17,359,3589
Barre,2020-06-17,61,409
Becket,2020-06-17,14,110
Bedford,2020-06-17,247,4190
Belchertown,2020-06-17,101,900
Bellingham,2020-06-17,124,1207
Belmont,2020-06-17,229,1813
