date,Town,Count,Tests
2020-04-29,Cheshire,3,NA
2020-04-29,Chester,6,NA
2020-04-29,Chesterfield,3,NA
2020-04-29,Chicopee,248,NA
2020-04-29,Chilmark,3,NA
2020-04-29,Clarksburg,7,NA
2020-04-29,Clinton,87,NA
2020-04-29,Cohasset,18,NA
2020-04-29,Colrain,3,NA
2020-04-29,Concord,117,NA
2020-04-29,Conway,3,NA
2020-04-29,Cummington,3,NA
2020-04-29,Dalton,6,NA
2020-04-29,Danvers,467,NA
2020-04-29,Dartmouth,161,NA
2020-04-29,Dedham,239,NA
2020-04-29,Deerfield,6,NA
2020-04-29,Dennis,51,NA
2020-04-29,Dighton,35,NA
2020-04-29,Douglas,26,NA
2020-04-29,Dover,14,NA
2020-04-29,Dracut,296,NA
2020-04-29,Dudley,40,NA
2020-04-29,Dunstable,7,NA
2020-04-29,Duxbury,47,NA
2020-04-29,East Bridgewater,127,NA
2020-04-29,East Brookfield,6,NA
2020-04-29,East Longmeadow,178,NA
2020-04-29,Eastham,10,NA
2020-04-29,Easthampton,50,NA
2020-04-29,Easton,195,NA
2020-04-29,Edgartown,3,NA
2020-04-29,Egremont,3,NA
2020-04-29,Erving,3,NA
2020-04-29,Essex,15,NA
2020-04-29,Everett,1004,NA
2020-04-29,Fairhaven,92,NA
2020-04-29,Fall River,481,NA
2020-04-29,Falmouth,124,NA
2020-04-29,Fitchburg,238,NA
2020-04-29,Florida,3,NA
2020-04-29,Foxborough,77,NA
2020-04-29,Framingham,816,NA
2020-04-29,Franklin,86,NA
2020-04-29,Freetown,54,NA
2020-04-29,Gardner,104,NA
2020-04-29,Georgetown,29,NA
2020-04-29,Gill,3,NA
2020-04-29,Gloucester,143,NA
2020-04-29,Goshen,3,NA
2020-04-29,Gosnold,0,NA
2020-04-29,Grafton,52,NA
2020-04-29,Granby,18,NA
2020-04-29,Granville,8,NA
2020-04-29,Great Barrington,46,NA
2020-04-29,Greenfield,157,NA
2020-04-29,Groton,22,NA
2020-04-29,Groveland,14,NA
2020-04-29,Hadley,27,NA
2020-04-29,Halifax,25,NA
2020-04-29,Hamilton,21,NA
2020-04-29,Hampden,16,NA
2020-04-29,Hancock,3,NA
2020-04-29,Hanover,44,NA
2020-04-29,Hanson,66,NA
2020-04-29,Hardwick,3,NA
2020-04-29,Harvard,14,NA
2020-04-29,Harwich,36,NA
2020-04-29,Hatfield,8,NA
2020-04-29,Haverhill,600,NA
2020-04-29,Hawley,0,NA
2020-04-29,Heath,0,NA
2020-04-29,Hingham,148,NA
2020-04-29,Hinsdale,3,NA
