long,lat,order,hole,piece,group,id,Town
-71.09005956,42.35203135,7778,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.09013956,42.35217135,7779,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08983956,42.35216135,7780,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08606956,42.35296135,7781,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08605956,42.35302135,7782,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08593956,42.35305135,7783,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08579956,42.35302135,7784,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08465956,42.35331135,7785,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08455956,42.35334135,7786,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08440956,42.35323135,7787,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08425956,42.35322135,7788,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08297956,42.35360135,7789,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08159956,42.35395135,7790,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08150956,42.35401135,7791,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08141956,42.35416135,7792,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08130956,42.35424135,7793,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08111956,42.35428885,7794,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08110956,42.35429135,7795,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08072956,42.35439135,7796,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.08011956,42.35460135,7797,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07761956,42.35529135,7798,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07750956,42.35537135,7799,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07725956,42.35538135,7800,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07575956,42.35579135,7801,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07538956,42.35595135,7802,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07508956,42.35615135,7803,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07498956,42.35626135,7804,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07468956,42.35656135,7805,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07441956,42.35695135,7806,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07437956,42.35710135,7807,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07432956,42.35716135,7808,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07419956,42.35727135,7809,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07422956,42.35752135,7810,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07410956,42.35761135,7811,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07381956,42.35764135,7812,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07375956,42.35778135,7813,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07372956,42.35793135,7814,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07364956,42.35796135,7815,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07348956,42.35792135,7816,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07313956,42.35900135,7817,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07319956,42.35914135,7818,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07352956,42.35924135,7819,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07335956,42.35952135,7820,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07335956,42.36001135,7821,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07323956,42.36002135,7822,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07313956,42.36007135,7823,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07311956,42.36019135,7824,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07312665,42.36021735,7825,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07320956,42.36052135,7826,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07320956,42.36104135,7827,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07316956,42.36125135,7828,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07311956,42.36141135,7829,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07309956,42.36153135,7830,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07306956,42.36167135,7831,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07319956,42.36194135,7832,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07325956,42.36225135,7833,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07284956,42.36406135,7834,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07274956,42.36429135,7835,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07230956,42.36464135,7836,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07184956,42.36481135,7837,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07161284,42.36488593,7838,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07111956,42.36504135,7839,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07038956,42.36484135,7840,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07009956,42.36547135,7841,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07001956,42.36560135,7842,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07030956,42.36567135,7843,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07014956,42.36591135,7844,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.07005956,42.36605135,7845,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06990695,42.36622171,7846,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06946956,42.36670995,7847,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06919956,42.36701135,7848,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06906956,42.36702135,7849,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
-71.06895956,42.36703135,7850,FALSE,1,Back Bay Downtown.1,Back Bay Downtown,Back Bay Downtown
